日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
106/01/03,"15,416,016","1,294,730,044",83.70,84.30,83.70,84.30,+0.10,"8,066"
106/01/04,"23,873,107","2,015,096,108",84.30,84.60,84.20,84.20,-0.10,"11,491"
106/01/05,"25,436,380","2,138,359,820",84.40,84.50,83.80,84.00,-0.20,"10,638"
106/01/06,"23,040,962","1,935,817,593",84.50,84.50,83.80,83.80,-0.20,"8,135"
106/01/09,"16,896,424","1,415,345,372",84.10,84.30,83.50,83.50,-0.30,"8,054"
106/01/10,"15,941,071","1,337,490,566",83.90,84.10,83.60,84.00,+0.50,"6,474"
106/01/11,"28,156,161","2,363,577,420",84.40,84.40,83.40,84.20,+0.20,"12,424"
106/01/12,"29,006,144","2,443,370,656",84.20,84.40,83.60,84.30,+0.10,"12,028"
106/01/13,"22,849,300","1,923,697,754",84.30,84.40,83.90,84.20,-0.10,"8,941"
106/01/16,"16,511,152","1,379,370,729",84.00,84.00,83.50,83.50,-0.70,"7,378"
106/01/17,"14,589,273","1,222,155,239",83.80,84.00,83.50,84.00,+0.50,"8,228"
106/01/18,"19,363,976","1,622,184,471",84.00,84.10,83.30,83.30,-0.70,"8,782"
106/01/19,"25,925,225","2,163,893,353",83.30,83.80,83.00,83.50,+0.20,"7,824"
106/01/20,"20,360,487","1,702,872,266",84.00,84.00,83.40,83.40,-0.10,"7,397"
106/01/23,"27,882,026","2,334,639,337",83.50,84.00,83.40,84.00,+0.60,"10,370"
106/01/24,"25,450,490","2,131,316,435",83.60,84.00,83.60,83.70,-0.30,"9,903"
