日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
108/01/02,"11,621,170","660,446,839",57.70,57.70,56.50,56.50,-1.80,"4,994"
108/01/03,"14,270,437","790,941,595",54.80,56.60,54.00,56.00,-0.50,"5,171"
108/01/04,"6,542,754","360,335,804",55.00,55.50,54.60,55.20,-0.80,"3,015"
108/01/07,"8,979,815","496,166,346",55.70,55.70,55.00,55.00,-0.20,"4,332"
108/01/08,"3,775,871","208,624,061",55.40,55.50,55.10,55.20,+0.20,"2,314"
108/01/09,"8,833,251","496,045,514",55.50,56.60,55.30,56.30,+1.10,"4,253"
108/01/10,"3,647,816","207,147,312",56.50,57.00,56.30,57.00,+0.70,"1,886"
108/01/11,"5,031,521","288,697,448",57.20,57.70,56.80,57.60,+0.60,"2,455"
108/01/14,"3,483,333","200,018,733",57.80,58.20,57.00,57.30,-0.30,"1,690"
108/01/15,"7,951,325","463,008,261",57.40,58.60,57.30,58.60,+1.30,"3,661"
108/01/16,"5,289,744","309,957,631",58.60,59.00,58.10,58.60, 0.00,"2,904"
108/01/17,"4,185,744","243,918,552",58.70,59.10,57.60,58.10,-0.50,"2,227"
108/01/18,"4,046,007","237,569,398",58.80,59.00,58.40,58.80,+0.70,"2,009"
108/01/21,"4,121,143","244,482,579",59.30,60.00,58.80,58.80, 0.00,"2,152"
108/01/22,"4,758,407","279,161,525",58.50,59.00,58.20,58.50,-0.30,"1,408"
108/01/23,"2,861,067","167,092,841",58.40,58.90,58.00,58.30,-0.20,"1,585"
108/01/24,"2,080,699","121,891,778",58.60,58.80,58.30,58.70,+0.40,"1,272"
108/01/25,"9,302,191","560,494,976",59.80,60.60,59.40,60.50,+1.80,"4,265"
108/01/28,"2,286,889","138,102,204",60.50,60.80,60.10,60.50, 0.00,"1,349"
108/01/29,"4,743,095","282,571,771",60.20,60.20,59.00,59.90,-0.60,"2,362"
108/01/30,"6,035,231","361,484,954",60.10,60.40,59.20,60.00,+0.10,"2,339"
108/02/11,"7,591,657","449,406,765",60.10,60.30,58.50,58.80,-1.20,"4,280"
108/02/12,"4,034,739","240,537,640",58.50,60.50,58.40,60.30,+1.50,"2,635"
108/02/13,"4,747,235","283,163,266",60.20,60.40,59.00,59.60,-0.70,"3,067"
108/02/14,"4,753,969","280,191,535",58.60,59.30,58.60,58.80,-0.80,"2,686"
108/02/15,"2,785,198","164,116,019",58.50,59.50,58.50,58.90,+0.10,"1,728"
108/02/18,"3,706,944","218,831,483",59.40,59.70,58.60,58.60,-0.30,"2,419"
108/02/19,"2,062,938","121,165,837",58.70,59.10,58.60,58.60, 0.00,"1,211"
108/02/20,"6,873,623","411,531,633",59.10,60.50,59.00,60.40,+1.80,"3,868"
108/02/21,"4,264,777","254,703,536",60.40,60.40,59.40,59.90,-0.50,"2,145"
108/02/22,"3,849,000","230,345,179",59.70,60.10,59.50,59.80,-0.10,"1,993"
108/02/25,"7,047,763","432,809,124",60.10,62.30,60.00,62.00,+2.20,"3,572"
108/02/26,"17,048,933","1,099,858,259",62.00,65.30,61.90,64.50,+2.50,"7,718"
108/02/27,"16,706,676","1,056,453,671",65.00,65.10,62.50,62.90,-1.60,"6,717"
108/03/04,"12,309,135","774,697,976",62.10,64.50,61.80,63.80,+0.90,"5,060"
108/03/05,"8,251,344","523,301,274",63.00,63.80,62.80,63.50,-0.30,"3,537"
108/03/06,"8,562,383","550,347,414",64.50,65.40,63.40,64.00,+0.50,"3,896"
108/03/07,"6,097,643","388,805,609",64.40,64.70,63.00,63.10,-0.90,"3,467"
108/03/08,"8,877,195","563,372,808",63.30,64.40,62.30,63.50,+0.40,"4,418"
108/03/11,"8,768,609","549,011,566",63.00,63.20,62.20,62.20,-1.30,"3,466"
